"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"Montessori Children's House","5363 NORTH LONG LAKE RD","5363 NORTH LONG LAKE RD","TRAVERSE CITY","TRAVERSE CITY","49684-8217","49684-8217","Traverse City","Ms.","Colleen Christensen","Colleen","Christensen","colleen@traversechildrenshouse.org","2319299325",,"KG-Part, 1-6, GenEd, PK"
"Montessori Society of Greater G.R.","1110 COLLEGE AVE NE","1110 COLLEGE AVE NE","GRAND RAPIDS","GRAND RAPIDS","49503-1123","49503-1123","Grand Rapids","Mrs.","Libby Kreiner","Libby","Kreiner","libbykreiner@steppingstonesgr.org","6164518627","6164510145","KG-Part,1-6, GenEd, PK"
"Montessori Stepping Stones","174 CASS AVE","174 CASS AVE","MOUNT CLEMENS","MOUNT CLEMENS","48043-2222","48043-2222","Mount Clemens","Ms.","Michelle Daley","Michelle","Daley","office@montsteppingstones.com","5864654260","5867839412","KG-Part,1-5, GenEd, PK"
"Most Holy Trinity School","PO Box 349","11144 WEST KENT ST","Fowler","FOWLER","48835-0349","48835-8726","Fowler","Mrs.","Anne Hufnagel","Anne","Hufnagel","anneh@mhtparish.com","9895932616","9895932801","3-8, GenEd"
"Most Holy Trinity School","1229 LABROSSE ST","1229 LABROSSE ST","DETROIT","DETROIT","48226-1011","48226-1011","Detroit","Ms.","Kathleen McBride","Kathleen","McBride","kmcbride@mostholytrinityschool.org","3139618855","3139615797","KG-Part,1-8, GenEd, PK"
"Mt. Olivet Christian School","22980 13 Mile Road, PO Box 8","22980 13 MILE RD","Bellevue","BELLEVUE","49021-0008","49021-9528","Bellevue","Ms.","Katrina Kover","Katrina","Kover","krkover@aol.com","2697630190",,"1-12, GenEd"
"Mt. Pleasant SDA School","1730 EAST PICKARD RD","1730 EAST PICKARD RD","MOUNT PLEASANT","MOUNT PLEASANT","48858-9693","48858-9693","Mt. Pleasant","Mrs.","Tamara Draves","Tamara","Draves","bdavis@misda.org","9897733231","5173161559","KG,1-8, GenEd"
"Munising Baptist School","PO Box 339","6285 CONNORS RD","Wetmore","WETMORE","49895-0339","49895","Munising","Mr.","Benjamin Franklin II","Benjamin","Franklin II","mbsbobcats@gmail.com","9063873041",,"KG-Part,1-12, GenEd"
"Munising SDA Elementary School","PO Box 68","E8799 M-28 W","Munising","MUNISING","49862-0068","49862","Munising","Mrs.","Daisy Nieman","Daisy","Nieman","bdavis@misda.org","9063872942","5173161559","1-8, GenEd"
"Muskegon Catholic Central Elementary School","1145 WEST LAKETON AVE","1145 WEST LAKETON AVE","MUSKEGON","MUSKEGON","49441-2801","49441-2801","Muskegon","Ms.","Penny Johnson","Penny","Johnson","pjohnson@muskegoncatholic.org","2317552201","2317558651","KG,KG-Part,1-6, GenEd, PK"
"Muskegon Catholic Central High School","1145 WEST LAKETON AVE","1145 WEST LAKETON AVE","MUSKEGON","MUSKEGON","49441-2801","49441-2801","Muskegon","Mr.","Jim VanBergen","Jim","VanBergen","jvanbergen@muskegoncatholic.org","2317552201","2317558651","7-12, GenEd"
"Muskegon Christian School","1220 EASTGATE ST","1220 EASTGATE ST","MUSKEGON","MUSKEGON","49442-4017","49442-4017","Muskegon","Mr.","Dan DeKam","Dan","DeKam","ddekam@mchristianschool.com","2317733221",,"KG-Part, 1-8, GenEd, PK"
"Muskegon SDA School","3050 EVANSTON AVE","3050 EVANSTON AVE","MUSKEGON","MUSKEGON","49442-6346","49442-6346","Orchard View","Ms.","Jacqueline Reagan","Jacqueline","Reagan","bdavis@misda.org","2317738866","5173161559","1-8, GenEd"
"Muslim American Youth Academy","19500 FORD RD","19500 FORD RD","DEARBORN","DEARBORN","48128-2404","48128-2404","Dearborn","Ms.","Hala Hazimi","Hala","Hazimi","hhazimi49@yahoo.com","3134363300","3134367909","KG-Part, 1-8, GenEd, PK"
"ND Marist Acade. Lower Div.","60 SOUTH LYNN AVE","60 SOUTH LYNN AVE","WATERFORD","WATERFORD","48328-3823","48328-3823","Waterford","Mrs.","Diana Atkins","Diana","Atkins","datkins@ndpma.org","2486825580","2486823635","KG-Part, 1-5, GenEd, PK"
"ND Marist Acade. Middle Div.","1300 GIDDINGS RD","1300 GIDDINGS RD","PONTIAC","PONTIAC","48340-2108","48340-2108","Pontiac","Ms.","Jill Mistretta","Jill","Mistretta","jmistretta@ndpma.org","2483735371","2483734707","6-8, GenEd"
"New Covenant Christian School","PO Box 80737","4415 WEST ST JOE HWY","Lansing","LANSING","48908-0707","48917-4120","Waverly","Mr.","Iain Belot","Iain","Belot","principal@nccswarriors.org","5173238903",,"KG-Part, 1-12, GenEd, PK"
"New Era Christian School","1901 OAK AVE","1901 OAK AVE","NEW ERA","NEW ERA","49446-9625","49446-9625","Shelby","Mr.","David Wagner","David","Wagner","newerachristian@charter.net","2318615450","2317734681","KG-Part, 1-8, GenEd, PK"
"New Life Christian Academy","5517 GRISWOLD RD","5517 GRISWOLD RD","KIMBALL","KIMBALL","48074-1906","48074-1906","Port Huron",,"Lee Ann Shimmel","Lee Ann","Shimmel","lshimmel@nlcaschool.com","8103673770","8103672249","KG-Part, 1-12, GenEd, PK"
"New Morning School","14501 NORTH HAGGERTY RD","14501 NORTH HAGGERTY RD","PLYMOUTH","PLYMOUTH","48170-2738","48170-2738","Plymouth-Canton","Ms.","Elaine Kennedy","Elaine","Kennedy","elaine@newmorningschool.com","7344203331","7344200324","KG-Part, 1-8, GenEd, PK"
"New Salem Ev Lutheran School","214 EAST GROVE ST","214 EAST GROVE ST","SEBEWAING","SEBEWAING","48759-1550","48759-1550","Unionville-Sebewaing","Rev.","William Mayhew","William","Mayhew","newsalem.wels@gmail.com","9898833880","9898833880","KG-Part,1-8, GenEd"
"Niles SDA School","110 NORTH FAIRVIEW AVE","110 NORTH FAIRVIEW AVE","NILES","NILES","49120-1570","49120-1570","Niles","Mr.","Michael Jakobsons","Michael","Jakobsons","bdavis@misda.org","2696835444","5173161559","KG-Part, 1-8, GenEd, PK"
"North Sharon Christian School","17999 WASHBURN RD","17999 WASHBURN RD","GRASS LAKE","GRASS LAKE","49240-9616","49240-9616","Manchester","Ms.","Rachel Lantis","Rachel","Lantis","rlantis@juno.com","7344759797",,"KG-Part, 1-12, GenEd"
"Northern Michigan Christian School","128 SOUTH MARTIN ST","128 SOUTH MARTIN ST","MC BAIN","MC BAIN","49657-9705","49657-9705","McBain","Mr.","Rick Klooster","Rick","Klooster","rklooster@nmcs.us","2318252492","2318252371","KG-Part, 1-12, GenEd, PK"
"NorthPointe Christian School","3101 LEONARD ST NE","3101 LEONARD ST NE","GRAND RAPIDS","GRAND RAPIDS","49525-5832","49525-5832","Grand Rapids","Mr.","James Hofman","James","Hofman","hofmanj@npchristian.org","6169420363","6169426867","KG-Part, 1-12, GenEd, PK"
"Northview Junior Academy","202 NORTH CARMEL ST","202 NORTH CARMEL ST","CADILLAC","CADILLAC","49601-2044","49601-2044","Cadillac","Mrs.","Lanette Brandow","Lanette","Brandow","bdavis@misda.org","2317753622","5173161559","1-8, GenEd"
"Northville Christian School","41355 6 MILE RD","41355 6 MILE RD","NORTHVILLE","NORTHVILLE","48168-3445","48168-3445","Northville","Mr.","Kenneth Storey","Kenneth","Storey","kstorey@northvillechristian.org","2483489031","2483485423","KG-Part, 1-8, GenEd, PK, SpecEd"
"Northville Montessori Center","15709 NORTH HAGGERTY RD","15709 NORTH HAGGERTY RD","PLYMOUTH","PLYMOUTH","48170-4861","48170-4861","Plymouth-Canton","Mr.","Keith Gall","Keith","Gall","montessorinorth@comcast.net","7344200924",,"KG-Part,1-8, GenEd, PK"
"Northwest Michigan House of Hope","1683 Hoch Rd., PO Box 5014","1683 HOCH RD","Traverse City","TRAVERSE CITY","49696-5014","49686-8112","Traverse City","Ms.","Emily Robinson","Emily","Robinson","hopeacademy@abbashousetc.com","2319465350","2319469470","7-12, Boarding, GenEd"
"Notre Dame Preparatory School","1300 GIDDINGS RD","1300 GIDDINGS RD","PONTIAC","PONTIAC","48340-2108","48340-2108","Pontiac","Ms.","Jill Mistretta","Jill","Mistretta","jmistretta@ndpma.org","2483735300",,"9-12, GenEd"
"Nottawa Christian Day School","PO Box A","26173 M-86","Nottawa","NOTTAWA","49075-0250","49075","Centreville","Mr.","Arlan Yoder","Arlan","Yoder","none@mi.gov","2694676454",,"1-12, GenEd"
"Nouvel Catholic Central High School","2555 WIENEKE RD","2555 WIENEKE RD","SAGINAW","SAGINAW","48603-2863","48603-2863","Saginaw Township","Ms.","Irene Hensinger","Irene","Hensinger","ihensinger@sacschools.org","9897914330","9897976603","9-12, GenEd"
"Oak Arbor New Church School","495 OAK ARBOR CIR W","495 OAK ARBOR CIR W","ROCHESTER","ROCHESTER","48306-1749","48306-1749","Rochester","Mr.","Derek Elphick","Derek","Elphick","ldechazal@oakarbor.org","2486523420",,"KG-Part, 1-8, GenEd, PK"
"Oak Hollow Christian School","120 MANITOU LN","120 MANITOU LN","LAKE ORION","LAKE ORION","48362-1557","48362-1557","Lake Orion","Ms.","Tamie Hasty","Tamie","Hasty","bdavis@misda.org","2486931224","5173161559","KG-Part,1-8, GenEd"
"Oakdale Academy","3200 Beacham Drive","3200 Beacham Dr","Waterford","Waterford","48329","48329-4506","Waterford","Ms.","Rachel Greb","Rachel","Greb","rgreb@oakdaleacademy.com","2483334309","2483337098","KG,1-11, GenEd"
"Oakland Children's Academy","2160 EAST MAPLE RD","2160 EAST MAPLE RD","TROY","TROY","48083-4400","48083-4400","Warren Consolidated","Mrs.","Sherin Thomas","Sherin","Thomas","ocaoffice@sbcglobal.net","2485893590",,"KG-Part, 1-3, GenEd, PK"
"Oakland Christian - Clarkston","6300 CLARKSTON RD","6300 CLARKSTON RD","CLARKSTON","CLARKSTON","48346-1611","48346-1611","Clarkston","Mrs.","Erin Akers","Erin","Akers","eakers@oaklandchristian.com","2486251324","2486257406","KG-Part,1-2, GenEd, PK"
"Oakland Christian School","3075 SHIMMONS RD","3075 SHIMMONS RD","AUBURN HILLS","AUBURN HILLS","48326-2068","48326-2068","Pontiac",,"S. Randall Speck","S. Randall","Speck","gmay@oaklandchristian.com","2483732700",,"KG-Part, 1-12, GenEd, PK"
"Oakland Steiner School","3976 SOUTH LIVERNOIS RD","3976 SOUTH LIVERNOIS RD","ROCHESTER HILLS","ROCHESTER HILLS","48307-4935","48307-4935","Avondale","Ms.","Katherine Thivierge","Katherine","Thivierge","ossfinance@aol.com","2482998755","2482993614","KG-Part, 1-8, GenEd, PK"
"Oakwood Academy","26300 GODDARD RD","26300 GODDARD RD","TAYLOR","TAYLOR","48180-3905","48180-3905","Taylor","Mr.","Kenneth Armstrong","Kenneth","Armstrong","bdavis@misda.org","3132916790","5173161559","KG-Part,1-8, GenEd"
"Oceana Christian School","3258 NORTH 72ND AVE","3258 NORTH 72ND AVE","HART","HART","49420-8533","49420-8533","Hart","Mr.","Dennis Foley","Dennis","Foley","dtafoley@aol.com","2318732514",,"KG-Part, 1-8, GenEd, PK"
"Oholei Yosef Yitzchak Lubavi","14100 WEST 9 MILE RD","14100 WEST 9 MILE RD","OAK PARK","OAK PARK","48237-2621","48237-2621","Oak Park","Rabbi","B Stein","B","Stein","mendel@lubavitchcheder.com","2485415441","2485640929","KG,KG-Part,1-12, GenEd"
"Onaway SDA School","PO Box 156, 21440 M-68 West","21440 M 68 HWY","Onaway","ONAWAY","49765-9692","49765-9692","Onaway","Mrs.","Grace Ivy","Grace","Ivy","bdavis@misda.org","9897338600","5173161559","KG, KG-Part, 1-8, GenEd"
"Otsego Christian Academy","247 EAST ALLEGAN ST","247 EAST ALLEGAN ST","OTSEGO","OTSEGO","49078-1103","49078-1103","Otsego","Mr.","Kenneth Doctor","Kenneth","Doctor","oba@fbcotsego.org","2696946738","9282220390","KG-Part, 1-8, GenEd, PK"
"Otsego Christian School","PO Box 1365","1377 EAST M 32","Gaylord","GAYLORD","49734-5365","49735-9702","Gaylord","Ms.","Karla Hawkins","Karla","Hawkins","khawkins@ocsgaylord.org","9897328333","9897057713","KG-Part,1-12, GenEd, PK"
"Our Lady of Consolation School","4865 11 MILE RD NE","4865 11 MILE RD NE","ROCKFORD","ROCKFORD","49341-8477","49341-8477","Rockford","Mrs.","Kevin Varner","Kevin","Varner","kvarnerolc@catholicweb.com","6168662427",,"KG-Part, 1-8, GenEd, PK"
"Our Lady of Good Counsel School","1151 WILLIAM ST","1151 WILLIAM ST","PLYMOUTH","PLYMOUTH","48170-1158","48170-1158","Plymouth-Canton","Ms.","Kay Reilly","Kay","Reilly","cabblem@olgcschool.net","7344533053","7343575331","KG-Part, 1-8, GenEd, SpecEd"
"Our Lady of Lake Huron School","222 COURT ST","222 COURT ST","HARBOR BEACH","HARBOR BEACH","48441-1300","48441-1300","Harbor Beach","Mr.","Lawrence Kish II","Lawrence","Kish II","kbanker_2000@yahoo.com","9894793427","9894793335","KG-Part, 1-8, GenEd"
"Our Lady of LaSalette School","2219 COOLIDGE HWY","2219 COOLIDGE HWY","BERKLEY","BERKLEY","48072-1569","48072-1569","Berkley","Mr.","Daniel Terbrack","Daniel","Terbrack","dan.terbrack@lasalette.org","2485423757","2485416359","KG-Part, 1-8, GenEd, PK"
"Our Lady of Refuge School","3750 COMMERCE RD","3750 COMMERCE RD","ORCHARD LAKE","ORCHARD LAKE","48324-1611","48324-1611","West Bloomfield","Mr.","Robert Pyles","Robert","Pyles","rpyles@olr-school.net","2486823422",,"KG-Part, 1-8, GenEd, PK"
"Our Lady of Sorrows School","24040 RAPHAEL RD","24040 RAPHAEL RD","FARMINGTON HILLS","FARMINGTON HILLS","48336-1752","48336-1752","Farmington","Ms.","Ann Whitfield","Ann","Whitfield","awhitfield@olsorrows.com","2484760977",,"KG-Part, 1-8, GenEd, PK"
"Our Lady of the Lake School","1039 WEST HOUGHTON LAKE DR","1039 WEST HOUGHTON LAKE DR","PRUDENVILLE","PRUDENVILLE","48651-9613","48651-9613","Houghton Lake","Ms.","Mary Kay Murphy","Mary Kay","Murphy","mkmurphy49@gmail.com","9893665592","9893661348","KG-Part, 1-8, GenEd, PK"
"Our Lady of the Lakes School","5495 DIXIE HWY","5495 DIXIE HWY","WATERFORD","WATERFORD","48329-1614","48329-1614","Waterford","Mr.","Carl Uberti","Carl","Uberti","carl.uberti@ollonline.org","2486230340","2486237536","KG-Part, 1-12, GenEd, PK"
"Our Lady of Victory School","132 ORCHARD DR","132 ORCHARD DR","NORTHVILLE","NORTHVILLE","48167-1316","48167-1316","Northville","Ms.","Karen Sanford","Karen","Sanford","ksanford@olvnorthville.net","2483493610","2483807247","KG-Part, 1-8, GenEd"
"Our Lady Queen of Martyrs School","32460 PIERCE ST","32460 PIERCE ST","BEVERLY HILLS","BEVERLY HILLS","48025-4121","48025-4121","Birmingham","Mr.","Joseph Vincler","Joseph","Vincler","jvincler@olqm-parish.org","2486422616","2486423671","KG-Part, 1-8, GenEd, PK"
"Our Lady Star of the Sea School","467 FAIRFORD RD","467 FAIRFORD RD","GROSSE POINTE WOODS","GROSSE POINTE WOODS","48236-2410","48236-2410","Grosse Pointe","Ms.","Julie Aemisegger","Julie","Aemisegger","j.aemisegger@olsos.org","3138841070","3138840406","KG-Part, 1-8, GenEd, PK"
"Our Savior Evangelical Lutheran School","13667 HIGHLAND RD","13667 HIGHLAND RD","HARTLAND","HARTLAND","48353-3127","48353-3127","Hartland","Ms.","Lisa Lang","Lisa","Lang","llang@oursaviorhartland.org","2488873836","2488898279","KG-Part, 1-8, GenEd, PK"
"Our Savior Lutheran School","6770 MARLETTE ST","6770 MARLETTE ST","MARLETTE","MARLETTE","48453-1213","48453-1213","Marlette","Ms.","Adrienne Thompson","Adrienne","Thompson","aaisboo77@aol.com","9896350115","9896350112","KG-Part,1-8, GenEd, PK"
"Our Savior Lutheran School","1916 RIDGEWOOD AVE SE","1916 RIDGEWOOD AVE SE","GRAND RAPIDS","GRAND RAPIDS","49506-5031","49506-5031","Grand Rapids","Mr.","Barry Blomquist","Barry","Blomquist","blomquist@choiceonemail.com","6169490710",,"KG-Part, 1-8, GenEd, PK"
"Our Savior Lutheran School","7910 EAST ST JOE HWY","7910 EAST ST JOE HWY","LANSING","LANSING","48917-8871","48917-8871","Grand Ledge","Mr.","James Landskroener","James","Landskroener","jlandskroener@oursaviorchurch.org","5178823550","5178823477","KG-Part, 1-8, GenEd, PK, SpecEd"
"Our Shepherd Lutheran School","1658 EAST LINCOLN ST","1658 EAST LINCOLN ST","BIRMINGHAM","BIRMINGHAM","48009-7109","48009-7109","Birmingham","Ms.","Janet McLoughlin","Janet","McLoughlin","mclough3@ourshepherd.net","2486450551",,"KG-Part, 1-8, GenEd"
"Owosso Christian School","2100 NORTH M 52","2100 NORTH M 52","OWOSSO","OWOSSO","48867-1220","48867-1220","Owosso","Mrs.","Amy Galesk","Amy","Galesk","ocs@charterinternet.com","9897234510","9897291323","KG-Part,1-12, GenEd"
"Owosso SDA School","1215 SUMMIT ST","1215 SUMMIT ST","OWOSSO","OWOSSO","48867-1869","48867-1869","Owosso","Mrs.","Darlene Huckabay","Darlene","Huckabay","bdavis@misda.org","9897236562","5173161559","3-8, GenEd"
"Oxford Academy Montessori","18600 23 Mile Road","18600 23 Mile Road","Macomb","Macomb","48044","48044","Chippewa Valley","Ms.","Toni Partyka","Toni","Partyka","tonik49@yahoo.com","5866497893","5864215842","KG,1-5, Alt, GenEd, PK"
"Pam's Academy of Champions","1113 PIERCE RD","1113 PIERCE RD","LANSING","LANSING","48910-6217","48910-6217","Lansing","Ms.","Pamela Eaton-Champion","Pamela","Eaton-Champion","mspamfrog@yahoo.com","5173942333","5173944750","KG-Part,1-4, GenEd, PK"
"Parkway Christian School","14500 METROPOLITAN PKWY","14500 METROPOLITAN PKWY","STERLING HEIGHTS","STERLING HEIGHTS","48312-3412","48312-3412","Utica","Ms.","Lila Place","Lila","Place","cfontana@parkwaychristianschool.org","5864469900","5864469904","KG-Part, 1-12, GenEd, PK"
"Peace Lutheran School","9415 MERRIMAN RD","9415 MERRIMAN RD","LIVONIA","LIVONIA","48150-2903","48150-2903","Livonia","Mr.","David Wilson","David","Wilson","dwilson@atpeacewithgod.org","7344226930","7344220790","KG-Part, 1-8, GenEd, PK"
"Peace Lutheran School","3161 LAWNDALE RD","3161 LAWNDALE RD","SAGINAW","SAGINAW","48603-1655","48603-1655","Saginaw Township","Mr.","Gary Campbell","Gary","Campbell","krobinson@peacesaginaw.net","9897922581","9897928266","KG-Part, 1-8, GenEd, PK"
"Peace Lutheran School","6580 24 MILE RD","6580 24 MILE RD","SHELBY TOWNSHIP","SHELBY TOWNSHIP","48316-3306","48316-3306","Utica","Mr.","Jared Weiss","Jared","Weiss","laurie@peaceshelby.org","5867814120","5867318935","KG-Part, 1-8, GenEd, PK"
"Peace Lutheran School","11701 E 12 MILE RD","11701 EAST 12 MILE RD","WARREN","WARREN","48093-3466","48093-3466","Warren Woods","Mr.","Kregg Fritsch","Kregg","Fritsch","peacewarren@comcast.net","5867518011","5867518558","KG-Part, 1-8, GenEd, PK"
"Peterson-Warren Academy","4000 Sylvia, PO Box 888","4000 SYLVIA ST","Inkster","INKSTER","48141-3184","48141-3184","Taylor","Dr.","Juanita Martin","Juanita","Martin","juanita_martin1@hotmail.com","3135655808","3135657784","KG-Part, 1-12, GenEd, PK"
"Petoskey Area SDA School","1402 HOWARD ST","1402 HOWARD ST","PETOSKEY","PETOSKEY","49770-9271","49770-9271","Petoskey","Mrs.","Lorene Yount","Lorene","Yount","bdavis@misda.org","2313472560","5173161559","KG,1-7, GenEd"
"Pilgrim Bible Academy","361 PINE ST","361 PINE ST","CEDAR SPRINGS","CEDAR SPRINGS","49319-9686","49319-9686","Cedar Springs","Ms.","Terri Matz","Terri","Matz","pilgrimbibleacademy@yahoo.com","6166961021","6166968801","1-12, GenEd"
"Pine Mountain Christian School","N3770 PINE MOUNTAIN RD","3770 PINE MOUNTAIN RD","IRON MOUNTAIN","IRON MOUNTAIN","49801-9404","49801","Breitung Twp","Ms.","Emily Graham","Emily","Graham","bdavis@misda.org","9067797640","5173161559","KG,1-8, GenEd, PK"
"Pine Ridge Christian School","623 WEST 40TH ST","623 WEST 40TH ST","HOLLAND","HOLLAND","49423-4623","49423-4623","Holland","Mr.","Tim Howell","Tim","Howell","thowell@hollandchristian.org","6168203505","6168203502","3-5, GenEd, SpecEd"
"Pinecrest School","2603 WOODLAND DR","2603 WOODLAND DR","HALE","HALE","48739-9216","48739-9216","Hale",,"Mary Klug","Mary","Klug","contact@heroofmichigan.org","9897286490",,"8-12, GenEd"
"Pleasant View Mennonite School","8314 ADAMSON LAKE RD","8314 ADAMSON LAKE RD","KALEVA","KALEVA","49645-9722","49645-9722","Onekama","Mr.","Russell Poirier","Russell","Poirier","none@none.com","2318894565",,"2-8, GenEd"
"Plymouth Christian Academy","43065 JOY RD","43065 JOY RD","CANTON","CANTON","48187-2058","48187-2058","Plymouth-Canton","Dr.","Mark Wood","Mark","Wood","mwood@plymouthchristian.org","7344593505","7344599997","KG-Part, 1-12, GenEd, PK, SpecEd"
"Plymouth Christian Elementary School","1000 BALL AVE NE","1000 BALL AVE NE","GRAND RAPIDS","GRAND RAPIDS","49505-5903","49505-5903","Grand Rapids","Mr.","David Engelsma","David","Engelsma","devries1@plymouthchristian.us","6164584367","6164588532","KG-Part, 1-6, GenEd, PK"
"Plymouth Christian High School","965 PLYMOUTH AVE NE","965 PLYMOUTH AVE NE","GRAND RAPIDS","GRAND RAPIDS","49505-5907","49505-5907","Grand Rapids","Mr.","James Bazen","James","Bazen","jbazen@plymouthchristian.us","6164549481","6164547243","7-12, GenEd"
"Potters House High School","2500 NEWPORT ST SW","2500 NEWPORT ST SW","WYOMING","WYOMING","49519-2119","49519-2119","Wyoming","Mr.","Paul Dull","Paul","Dull","pdull@pottershouseschool.org","6162498050","6162498555","9-12, GenEd"
"Potters House School","810 VAN RAALTE DR SW","810 VAN RAALTE DR SW","WYOMING","WYOMING","49509-1101","49509-1101","Godfrey-Lee","Mr.","John Booy","John","Booy","cbeals@pottershouseschool.org","6162415202","6162415913","KG-Part, 1-8, GenEd, PK"
"Prairie Baptist School","11210 PQ AVE E","11210 PQ AVE E","SCOTTS","SCOTTS","49088-9309","49088-9309","Climax-Scotts","Mrs.","Patricia Harrison","Patricia","Harrison","razcoburn@aol.com","2696268101","2696268018","KG-Part, 1-12, GenEd, PK"
"Prattville SDA School","5085 SOUTH WALDRON RD","5085 SOUTH WALDRON RD","PITTSFORD","PITTSFORD","49271-9658","49271-9658","Waldron","Mrs.","Barbara Hukill","Barbara","Hukill","bdavis@misda.org","5175234143","5173161559","2-8, GenEd"
"Providence Christian High","5479 WEST 72ND ST","5479 WEST 72ND ST","FREMONT","FREMONT","49412-8263","49412-8263","Fremont","Mr.","Steven Witter","Steven","Witter","switter@pchsmi.org","2319249780","2319241676","9-12, GenEd"
"Providence Christian School","100 PRATT RD","100 PRATT RD","KALAMAZOO","KALAMAZOO","49001-5337","49001-5337","Kalamazoo","Mr.","Steve Timmer","Steve","Timmer","stevetimmer@sbcglobal.net","6163854889",,"KG-Part, 1-9, GenEd"
"Queen of Miraculous Medal School","811 SOUTH WISNER ST","811 SOUTH WISNER ST","JACKSON","JACKSON","49203-1577","49203-1577","Jackson","Ms.","Elizabeth Hartley","Elizabeth","Hartley","lhartley@queenschurch.com","5177822664","5177823570","KG-Part, 1-6, GenEd"
"Red Hill Montessori","29001 WEST 13 MILE RD","29001 WEST 13 MILE RD","FARMINGTON HILLS","FARMINGTON HILLS","48334-2504","48334-2504","Farmington","Ms.","Leila Rotberg-Charlesworth","Leila","Rotberg-Charlesworth","montessoricenterfh@yahool.com","2488514166","2488514237","KG-Part, 1, GenEd, PK"
"Reformed Heritage Christian School","700 FLETCHER AVE","700 FLETCHER AVE","KALAMAZOO","KALAMAZOO","49006-3303","49006-3303","Kalamazoo","Mr.","Dave Vander Meer","Dave","Vander Meer","dnjvm5@att.net","2693830505","2693832381","KG-Part, 1-12, GenEd"
"Regina High School","13900 MASONIC BLVD","13900 MASONIC BLVD","WARREN","WARREN","48088-1417","48088-1417","Warren Consolidated","Sr.","Mary Leanne","Mary","Leanne","srleanne@reginahs.com","5865850500","3135265850","9-12, GenEd"
"Resurrection School","1527 EAST MICHIGAN AVE","1527 EAST MICHIGAN AVE","LANSING","LANSING","48912-2239","48912-2239","Lansing","Mr.","Jack VonAchen","Jack","VonAchen","resprincipal@comcast.net","5174870439",,"KG-Part, 1-8, GenEd, PK"
"Rochester Hills Christian","3300 SOUTH LIVERNOIS RD","3300 SOUTH LIVERNOIS RD","ROCHESTER HILLS","ROCHESTER HILLS","48307-4538","48307-4538","Avondale","Mrs.","Karen Patton","Karen","Patton","cammie.sheldon@rhbc-s.org","2488520585",,"KG-Part, 1-12, GenEd, PK"
"Rockford Christian School","6060 BELDING RD NE","6060 BELDING RD NE","ROCKFORD","ROCKFORD","49341-7699","49341-7699","Rockford","Mr.","Eric Burgess","Eric","Burgess","eburgess@grcs.org","6165746400","6168749932","KG-Part, 1-8, GenEd, PK"
"Roeper City and Country Elementary School","41190 WOODWARD AVE","41190 WOODWARD AVE","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48304-5020","48304-5020","Bloomfield Hills","Ms.","Carolyn Lett","Carolyn","Lett","carolyn.lett@roeper.org","2482037327","2482037305","KG-Part, 1-5, GenEd, PK"
"Roeper City and Country Upper","1051 OAKLAND AVE","1051 OAKLAND AVE","BIRMINGHAM","BIRMINGHAM","48009-5761","48009-5761","Birmingham","Ms.","Carolyn Lett","Carolyn","Lett","carolyn.lett@roeper.org","2482037327","2482037305","6-12, GenEd"
"Rosa Parks Academy","8913 WESTFIELD ST","8913 WESTFIELD ST","DETROIT","DETROIT","48204-2610","48204-2610","Detroit",,"Linda Krawford","Linda","Krawford","ak4305@wayne.edu","3134912329","3134912329","5-11, GenEd"
"Rose Park Christian School","556 BUTTERNUT DR","556 BUTTERNUT DR","HOLLAND","HOLLAND","49424-1505","49424-1505","West Ottawa","Miss","Sally Van Hemert","Sally","Van Hemert","svanhemert@hollandchristian.org","6168204055","6168204060","KG-Part,1-6, GenEd, PK"
"Rudolf Steiner School of Ann Arbor","2775 NEWPORT RD","2775 NEWPORT RD","ANN ARBOR","ANN ARBOR","48103-2270","48103-2270","Ann Arbor","Ms.","Marian Xavier","Marian","Xavier","mxavier@steinerschool.org","7346699394",,"KG-Part, 1-12, GenEd, PK"
"Rudyard Christian School","10702 WEST 17 MILE RD","10702 WEST 17 MILE RD","RUDYARD","RUDYARD","49780-9342","49780-9342","Rudyard",,"Wanda Hoolsema","Wanda","Hoolsema","wmh9814@yahoo.com","9064781136",,"1-5, GenEd"
"Ruth Murdoch Elementary School","8885 GARLAND AVE","8885 GARLAND AVE","BERRIEN SPRINGS","BERRIEN SPRINGS","49104-0001","49104-0001","Berrien Springs","Mr.","David Waller","David","Waller","bdavis@misda.org","2694713225","5173161559","KG-Part, 1-8, GenEd"
"Sacred Heart Academy","316 EAST MICHIGAN ST","316 EAST MICHIGAN ST","MOUNT PLEASANT","MOUNT PLEASANT","48858-2640","48858-2640","Mt. Pleasant","Mr.","Denny Starnes","Denny","Starnes","dstarnes@sha.net","9897721457","9897721707","7-12, GenEd"
"Sacred Heart of Jesus School","1200 DAYTON ST SW","1200 DAYTON ST SW","GRAND RAPIDS","GRAND RAPIDS","49504-6158","49504-6158","Grand Rapids","Dr.","Bernard Stanko","Bernard","Stanko","bstanko@sacredheartgr.org","6164590948","6164590899","KG-Part, 1-8, GenEd, PK"
